invariant_id,sub_spec_phase_tag,evidence
INV-002,S6.3,cited
INV-005,S6.3,cited
INV-010,S6.3,cited
INV-014,S6.3,cited
INV-015,S6.3,cited
INV-016,S6.3,cited
INV-018,S6.3,cited
INV-001,S6.4,cited
INV-002,S6.4,cited
INV-003,S6.4,cited
INV-004,S6.4,cited
INV-005,S6.4,cited
INV-006,S6.4,cited
INV-007,S6.4,cited
INV-008,S6.4,cited
INV-009,S6.4,cited
INV-010,S6.4,cited
INV-011,S6.4,cited
INV-012,S6.4,cited
INV-013,S6.4,cited
INV-014,S6.4,cited
INV-015,S6.4,cited
INV-016,S6.4,cited
INV-017,S6.4,cited
INV-018,S6.4,cited
INV-019,S6.4,cited
INV-020,S6.4,cited
INV-021,S6.4,cited
INV-022,S6.4,cited
INV-023,S6.4,cited
INV-024,S6.4,cited
INV-001,S11.1,cited
INV-002,S11.1,cited
INV-008,S11.1,cited
INV-012,S11.1,cited
INV-013,S11.1,cited
INV-014,S11.1,cited
INV-017,S11.1,cited
INV-023,S11.1,cited
INV-002,S11.2,cited
INV-008,S11.2,cited
INV-013,S11.2,cited
INV-014,S11.2,cited
INV-002,S11.3,cited
INV-008,S11.3,cited
INV-013,S11.3,cited
INV-014,S11.3,cited
INV-017,S11.3,cited
INV-001,S9.1,cited
INV-002,S9.1,cited
INV-004,S9.1,cited
INV-005,S9.1,cited
INV-006,S9.1,cited
INV-012,S9.1,cited
INV-018,S9.1,cited
INV-022,S9.1,cited
INV-024,S9.1,cited
INV-001,S9.2,cited
INV-002,S9.2,cited
INV-003,S9.2,cited
INV-004,S9.2,cited
INV-005,S9.2,cited
INV-006,S9.2,cited
INV-008,S9.2,cited
INV-012,S9.2,cited
INV-013,S9.2,cited
INV-014,S9.2,cited
INV-015,S9.2,cited
INV-018,S9.2,cited
INV-022,S9.2,cited
INV-024,S9.2,cited
INV-001,S9.3,cited
INV-002,S9.3,cited
INV-004,S9.3,cited
INV-005,S9.3,cited
INV-011,S9.3,cited
INV-012,S9.3,cited
INV-013,S9.3,cited
INV-014,S9.3,cited
INV-018,S9.3,cited
INV-002,S2.1,cited
INV-006,S2.1,cited
INV-019,S2.1,cited
INV-020,S2.1,cited
INV-021,S2.1,cited
INV-012,S4.1,cited
INV-002,S15.1,cited
INV-005,S15.1,cited
INV-007,S15.1,cited
INV-012,S15.1,cited
INV-013,S15.1,cited
INV-014,S15.1,cited
INV-016,S15.1,cited
INV-017,S15.1,cited
INV-023,S15.1,cited
INV-024,S15.1,cited
INV-007,S15.2,cited
INV-014,S15.2,cited
INV-024,S15.2,cited
INV-002,S10.1,cited
INV-005,S10.1,cited
INV-007,S10.1,cited
INV-009,S10.1,cited
INV-012,S10.1,cited
INV-013,S10.1,cited
INV-014,S10.1,cited
INV-015,S10.1,cited
INV-018,S10.1,cited
INV-022,S10.1,cited
INV-002,S15.3,cited
INV-008,S15.3,cited
INV-013,S15.3,cited
INV-014,S15.3,cited
INV-015,S15.3,cited
INV-017,S15.3,cited
INV-024,S15.3,cited
INV-002,S2.3,cited
INV-012,S2.3,cited
INV-018,S2.3,cited
INV-019,S2.3,cited
INV-020,S2.3,cited
INV-021,S2.3,cited
INV-023,S2.3,cited
