id,title,statement,why,enforced_by,verified_by
INV-001,Recovery is independent of L5,"The system boots into a usable state and recovers from failures without invoking any L5 cognitive component (LLM, planner, agent runtime). The recovery path uses only the L1 substrate, L2 AIOS-FS recovery objects, L4 identity in degraded mode, and operator credentials.","an OS that requires AI to recover is not an OS — it is an application running on top of one. Recovery must remain mechanical so that AI failures, model corruption, or LLM provider outages cannot brick the machine.",L1 recovery path; L4 identity service degraded mode (only `_system` subjects available without bundle); L9 recovery operations sub-spec.,S2.4 property `RECOVERY_PATH_INDEPENDENT_OF_L5` (in the existing S2.4 closed `PropertyType` enum). The property is a scheduled audit that ensures no recovery-path code references any L5 module.
INV-002,"AI proposes, never executes","AI-classified subjects (`is_ai = true`) emit typed action envelopes; they never execute side-effecting operations directly. Execution is mediated by the Capability Runtime gated by the Policy Kernel; AI can fill envelope fields and submit, but it cannot pass `policy_pending → executing` on its own actions without human or constitutional approval.",the value proposition of AIOS is that AI agency is bounded and auditable. Direct execution by AI removes the audit window.,S2.3 §26.2.4 `AIInstallInitiationBlocked` (added Wave 9; AI subjects emitting install actions are hard-denied); S2.3 hard-deny `AISystemAdminBlocked`; S2.3 §17 AI self-approval prevention; S6.1 §7 AI cannot self-promote `REAL`; S6.2 §10.6 AI cannot self-grade.,S2.4 property `POLICY_AI_SELF_APPROVAL_BLOCKED` (existing closed `PropertyType` value).
INV-003,"Secrets are capabilities, not values","Secret material is held by the Vault Broker. AI subjects can request operations on secrets ('sign this with key X', 'decrypt this blob with key Y') but cannot retrieve secret bytes. The vault broker performs the operation and returns the result.",capability-based secret access prevents prompt-injection and other adversarial flows from exfiltrating secrets through model outputs.,L4 vault broker (deferred sub-spec); S2.3 hard-denies on raw-secret-read for AI subjects.,S2.4 property `VAULT_NO_RAW_SECRET_LEAK` (existing closed `PropertyType` value); see also INV-018.
INV-004,Recovery boundary is preserved,"The host filesystem is partitioned into:  - `/` immutable + recovery-safe: read-only at runtime; mutable only by recovery-mode operations. - `/root` operator island: human operator's home; reachable in recovery; never AI-readable. - `/aios` AI-native root: the AIOS-FS projection where AI-readable/writeable objects live.  These three roots are constitutional. AIOS-FS objects, agents, and apps live under `/aios/...` per S4.1; `/root` is operator-private; `/` is immutable post-install.",an AI cannot corrupt `/`. An operator's recovery surface (`/root`) is not visible to AI. The boundary is mechanical.,L1 substrate (mount table); S4.1 namespace catalog (no `/aios/` path resolves into `/root` or vice versa); S3.2 sandbox (filesystem policy denies cross-root access).,S2.4 property `FILESYSTEM_BOUNDARY_INTACT` (promoted in S2.4 Wave 14 §23.1.1; ID 33 in closed `PropertyType` enum). Composes the existing `aiosfs_path_in_namespace` primitive (S2.4 Wave 4 §17.1) for path-scope assertions over canary paths with the new `filesystem_root_intact(root)` primitive (S2.4 Wave 14 §23.3) and an `evidence_exists` scan for absence of normal-mode `SYSTEM_TREE_MUTATION` outside the recovery window.
INV-005,Evidence is append-only,"The evidence log is monotonically growing. Records cannot be deleted, modified, or reordered. Compaction (per S3.1) drops old segments according to retention class but never rewrites history.",the evidence trail is the audit witness. Tamperable evidence is no evidence.,S3.1 evidence log (`Append`-only RPC; hash chain; per-segment Ed25519 signature; `VerifyChain` detects tamper).,S2.4 properties `EVIDENCE_LOG_APPEND_ONLY` and `EVIDENCE_HASH_CHAIN_INTACT` (existing closed `PropertyType` values).
INV-006,Web UI is localhost-only by default,"Web renderer ports listen on `127.0.0.1` and `::1` by default. LAN or remote exposure requires an explicit policy approval and an evidence record (`WEB_EXPOSURE_GRANTED`, FOREVER retention).",an AI-mediated UI exposed to the LAN is a remote-control surface. Default-deny on exposure forces explicit operator decision.,L7 web renderer config; L8 network policy; S2.3 policy bundle constraints.,"S2.4 property `WEB_UI_LOCALHOST_BOUND` (promoted in S2.4 Wave 14 §23.1.2; ID 34 in closed `PropertyType` enum). Composes the existing `web_renderer_bound_to(host, port)` primitive (S2.4 Wave 5 §18.2) for the positive loopback bind assertion, the existing `port.closed(host='0.0.0.0', port, protocol)` primitive (S2.4 §4) for the external-bind absence assertion (and the `::` IPv6 variant), and the existing `evidence_exists(receipt_id)` primitive for the FOREVER exposure-grant record assertion when "
INV-007,Layers depend downward only,"Layer L_n may depend on L_n itself or any L_m with m < n. Dependencies on layers L_n+1 through L_10 are forbidden for correctness. (Optional information flow upward — e.g., L9 telemetry observing L1 — is allowed; correctness must not require it.)",upward dependencies invert the dependency stack and make recovery and bring-up impossible.,every spec's 'Consumes' header table (must list only same-or-lower layers).,S2.4 property `LAYER_DOWNWARD_DEPENDENCY_HOLDS` (promoted in S2.4 Wave 14 §23.2.1; ID 35 in closed `PropertyType` enum). Composes the new `spec_consumes_table(spec_id)` primitive (S2.4 Wave 14 §23.3) which returns the closed-enum Consumes-row representation for a named sub-spec; a closed predicate over the rows asserts that every `dependency_direction = REQUIRES_FOR_CORRECTNESS` row points at a layer with `target_layer_index ≤ source_layer_index` per the discipline refined in `03_architecture_ov
INV-008,Default deny in policy,"If no policy rule matches an action, the decision is `DENY`. Absence of an allow rule is not implicit allow.",explicit-allow semantics is the only secure default. AIOS handles too many subject types and too many resources for blocklists to scale.,S2.3 Policy Kernel (default decision is `DENY`).,S2.4 property `POLICY_DEFAULT_DENY_HOLDS` (existing closed `PropertyType` value); the property runs scheduled audit by submitting random unmatched actions and confirming `DENY`.
INV-009,Approvals bind to one request and expire,"An approval is bound to one exact `request_hash` (S0.1 §4) and one approver. Approvals expire (default TTL 5 minutes for INTERACTIVE, 24 hours for batch). Reusing an approval for a different request is rejected.",generic 'alice approves anything' is a TOCTOU disaster. Per-request binding makes intent explicit.,L4 approval mechanics (deferred sub-spec); S0.1 envelope schema; S2.3 policy decision references the approval id.,"S2.4 property `APPROVAL_BOUND_AND_EXPIRING` (promoted in S2.4 Wave 14 §23.1.3; ID 36 in closed `PropertyType` enum). Composes the existing `evidence_exists(receipt_id)` primitive (S2.4 §4) to fetch each approval receipt with the new `approval_binding_state(approval_id)` primitive (S2.4 Wave 14 §23.3) which returns the closed-enum binding shape (`request_hash`, `approver_subject_id`, `issued_at`, `expires_at`, `consumed_at_or_null`, `channel_kind`); closed-enum predicates assert per-request bindi"
INV-010,AI cannot self-approve,"An AI subject cannot serve as the approver for an action the same AI subject submitted. Combined with INV-002 and the hard-coded S2.3 §17 invariant, this means AI actions touching anything risk-flagged require a human approver.",approval discipline collapses if the actor is the approver.,S2.3 §17 (existing constitutional invariant).,S2.4 property `POLICY_AI_SELF_APPROVAL_BLOCKED` (existing).
INV-011,Cross-group access forbidden by default,"A subject in group A cannot read, list, or write paths under `/aios/groups/<B>/...` for any `B ≠ A`. Single exception: `_system` scope subject + recovery mode + `system_audit_read` capability + human approver.",group is the trust boundary. Default-deny across groups prevents lateral compromise.,S2.3 hard-deny `CrossGroupAccessForbidden` (per S4.1 §12.4 / S2.3 §26.2.1).,S2.4 property `NAMESPACE_NO_CROSS_GROUP_POINTERS` (per S4.1 §12.5 / S2.4 §17.2).
INV-012,Recovery required for system mutation,"Mutations to `/aios/system/policy/`, `/aios/system/capabilities/`, `/aios/system/vault/`, `/aios/system/recovery/` require `is_recovery_mode = true` on the subject + a human approver + a `RECOVERY_EVENT` evidence record (FOREVER retention).",the constitutional layer of AIOS itself must not be edited from a normal-mode action.,S2.3 hard-deny `RecoveryRequiredForSystemMutation` (per S4.1 §12.4 / S2.3 §26.2.2).,"S2.4 property `RECOVERY_GATED_SYSTEM_MUTATIONS` (promoted in S2.4 Wave 14 §23.1.4; ID 37 in closed `PropertyType` enum). Composes the existing `policy.decision(policy_decision_id, expected_decision)` primitive (S2.4 §4) for the `RecoveryRequiredForSystemMutation` admission marker assertion (escape clause via `is_recovery_mode = true` OR the W9-B `is_first_boot = true` first-boot exception) with the existing `evidence_exists(receipt_id)` primitive for the paired FOREVER `RECOVERY_EVENT` (or `FIRS"
INV-013,AI cannot perform system admin operations,AI subjects (`is_ai = true`) cannot mutate `/aios/system/apps/` or `/aios/system/agents/` even when holding the `system_admin` capability. The capability is human-only authorization.,system mutations are the constitutional layer; AI must remain on the propose-not-execute side of every system-scope action.,S2.3 hard-deny `AISystemAdminBlocked` (per S4.1 §12.4 / S2.3 §26.2.3).,"S2.4 property `POLICY_AI_SELF_APPROVAL_BLOCKED` (promoted in S2.4 Wave 10 §21.1.1; ID 23) for INV-002 + INV-010 joint coverage, plus S2.4 property `AI_NEVER_SYSTEM_ADMIN` (promoted in S2.4 Wave 14 §23.1.5; ID 38 in closed `PropertyType` enum) for the system-admin-subtree audit specifically. The latter composes the existing `evidence_exists(receipt_id)` primitive to scan recent action receipts under `/aios/system/apps/...` and `/aios/system/agents/...` with the existing `policy.decision` primitiv"
INV-014,"No proof, no completion",A capability cannot claim status `REAL` without evidence at the required grade per S6.1 §10 and S6.2 §6. A status claim that exceeds the actual evidence is detected and emits `TAMPER_DETECTED`.,"the constitutional principle of AIOS development. Without it, reports inflate and trust erodes.","S6.1 status taxonomy gates G2..G6, G10; S6.2 grade computation function.",S2.4 property `STATUS_GRADE_CONSISTENT` (per S6.1 §9.3).
INV-015,Evidence never contains secrets,"Evidence records (per S3.1) never carry secret values, even partially. Secret-bearing operations log capability ids and broker references, not material.","evidence is queried by audit subjects, replicated across instances, and sometimes shared. Embedding secrets in evidence makes the log a high-value target.",L4 vault broker (S5.2); S3.1 record schema validation; S2.4 Wave 14 `EVIDENCE_NO_SECRET_LEAK` runtime audit. Schema validation in S3.1 catches structurally-typed secret fields; runtime detection of embedded-secret-in-text-payload patterns is now mechanical via the S2.4 property (no longer narrative-deferred).,"S2.4 property `EVIDENCE_NO_SECRET_LEAK` (promoted in S2.4 Wave 14 §23.1.6; ID 39 in closed `PropertyType` enum). Composes the existing `evidence_exists(receipt_id)` primitive (S2.4 §4) for record retrieval with the new `secret_pattern_match(record_id, pattern_catalog_id)` primitive (S2.4 Wave 14 §23.3) which runs a signed closed-enum pattern catalog (`spcat_<hex>`, PEM blocks / password regex / API key prefixes) against the record's canonical JCS payload; hit emits `TAMPER_DETECTED` with `invari"
INV-016,AI cannot grade its own work,"AI-authored code cannot be graded by an AI-emitted evidence receipt. Receipts of types `BUILD_PASSED`, `TEST_PASSED`, `E2E_PASSED`, `RECOVERY_REHEARSAL_PASSED`, `RELEASE_GATE_PASSED`, `OPERATIONAL_HEALTHY` naming an AI as producer for an artifact authored by the same AI are rejected with `AgentSelfGradingBlocked` (renamed from `ProducerCannotSelfGrade` in Wave 12 to mirror INV-002 site-2's PascalCase rule + record-stem-form discipline; the FOREVER record name `AGENT_SELF_GRADING_BLOCKED` is unch","this is the L0 mirror of INV-002 / INV-010 in the grade axis. Without it, AI could self-promote its own work to `REAL` via emitted evidence.",S6.2 §10.6 grade-receipt producer check.,scheduled audit of evidence records by S2.4 (no specific property; cross-reference of `producer = AI subject` against `authorship` of cited artifact).
INV-017,Sandbox floor is constitutional,The runtime safety floor of S3.2 is part of the constitutional layer. It is signed (`sigfloor_<hex>`) and cannot be loosened by any composition source. Per-class floors (human / AI / recovery) cannot be merged into a single permissive default.,the sandbox is the last-line enforcement boundary for action execution. A loosenable floor is no floor.,S3.2 §5.4 floor enforcement step (after merge).,S2.4 property `SANDBOX_PROFILE_MOST_RESTRICTIVE` (existing closed `PropertyType` value).
